source,cell,rows,cols,mux,op,corner,temp,vdd,T,mc,tclk_wlen,tclk_dec,trestore,access,low,high,wave,failed
v202_sweep,10T,2,128,1,write,TT,25.0,1.0,1e-08,1,150.3,212.2,280.0,183.7,334.1,280.0,True,
v202_sweep,10T,2,1,0,read,TT,25.0,1.0,1e-08,1,113.5,166.1,217.6,286.9,400.4,217.6,True,
v202_sweep,10T,2,1,0,write,TT,25.0,1.0,1e-08,1,114.8,166.8,189.2,120.0,234.8,189.2,True,
v202_sweep,10T,2,2,0,read,TT,25.0,1.0,1e-08,1,113.5,166.1,223.1,287.3,400.8,223.1,True,
v202_sweep,10T,2,2,0,write,TT,25.0,1.0,1e-08,1,115.5,166.8,195.3,121.2,236.7,195.3,True,
v202_sweep,10T,2,2,1,read,TT,25.0,1.0,1e-08,1,114.3,166.1,247.2,286.7,401.0,247.2,True,
v202_sweep,10T,2,2,1,write,TT,25.0,1.0,1e-08,1,115.5,166.8,195.8,137.5,253.0,195.8,True,
v202_sweep,10T,32,32,0,read,TT,25.0,1.0,1e-08,1,131.3,215.3,259.0,343.9,475.2,259.0,True,
v202_sweep,10T,32,32,0,write,TT,25.0,1.0,1e-08,1,146.9,227.3,259.3,112.1,259.0,259.3,True,
v202_sweep,10T,32,32,1,read,TT,25.0,1.0,1e-08,1,131.3,215.3,246.7,336.7,468.0,246.7,True,
v202_sweep,10T,32,32,1,write,TT,25.0,1.0,1e-08,1,146.9,227.3,258.3,114.5,261.4,258.3,True,
v202_sweep,10T,32,8,0,read,TT,25.0,1.0,1e-08,1,130.0,212.8,240.2,331.2,461.3,240.2,True,
v202_sweep,10T,32,8,0,write,TT,25.0,1.0,1e-08,1,133.1,215.9,234.4,94.1,227.2,234.4,True,
v202_sweep,10T,32,8,1,read,TT,25.0,1.0,1e-08,1,130.0,212.8,227.3,329.4,459.3,227.3,True,
v202_sweep,10T,32,8,1,write,TT,25.0,1.0,1e-08,1,133.1,216.0,230.6,95.8,228.9,230.6,True,
v202_sweep,10T,3,3,0,read,TT,25.0,1.0,1e-08,1,115.4,164.3,234.9,288.9,404.3,234.9,True,
v202_sweep,10T,3,3,0,write,TT,25.0,1.0,1e-08,1,117.6,165.9,207.2,123.9,241.5,207.2,True,
v202_sweep,10T,4,2,0,read,TT,25.0,1.0,1e-08,1,116.0,168.5,231.1,289.5,405.5,231.1,True,
v202_sweep,10T,4,2,0,write,TT,25.0,1.0,1e-08,1,117.5,169.8,202.6,123.4,240.9,202.6,True,
v202_sweep,10T,4,2,1,read,TT,25.0,1.0,1e-08,1,116.0,168.5,255.2,288.8,404.8,255.2,True,
