Index        {U}              V(V1)             V(V2)      
102     -6.08000000e-01   -1.97182983e-01    9.53568489e-01
103     -6.07000000e-01   -1.96711602e-01    9.52753557e-01
104     -6.06000000e-01   -1.96240094e-01    9.51939401e-01
105     -6.05000000e-01   -1.95768458e-01    9.51126024e-01
106     -6.04000000e-01   -1.95296691e-01    9.50313431e-01
107     -6.03000000e-01   -1.94824791e-01    9.49501625e-01
108     -6.02000000e-01   -1.94352756e-01    9.48690613e-01
109     -6.01000000e-01   -1.93880582e-01    9.47880397e-01
110     -6.00000000e-01   -1.93408267e-01    9.47070982e-01
111     -5.99000000e-01   -1.92935810e-01    9.46262373e-01
112     -5.98000000e-01   -1.92463208e-01    9.45454573e-01
113     -5.97000000e-01   -1.91990458e-01    9.44647588e-01
114     -5.96000000e-01   -1.91517558e-01    9.43841422e-01
115     -5.95000000e-01   -1.91044506e-01    9.43036079e-01
116     -5.94000000e-01   -1.90571300e-01    9.42231564e-01
117     -5.93000000e-01   -1.90097938e-01    9.41427881e-01
118     -5.92000000e-01   -1.89624417e-01    9.40625036e-01
119     -5.91000000e-01   -1.89150736e-01    9.39823032e-01
120     -5.90000000e-01   -1.88676892e-01    9.39021874e-01
121     -5.89000000e-01   -1.88202884e-01    9.38221568e-01
122     -5.88000000e-01   -1.87728709e-01    9.37422117e-01
123     -5.87000000e-01   -1.87254365e-01    9.36623527e-01
124     -5.86000000e-01   -1.86779850e-01    9.35825802e-01
125     -5.85000000e-01   -1.86305164e-01    9.35028947e-01
126     -5.84000000e-01   -1.85830302e-01    9.34232968e-01
127     -5.83000000e-01   -1.85355265e-01    9.33437868e-01
128     -5.82000000e-01   -1.84880049e-01    9.32643652e-01
129     -5.81000000e-01   -1.84404654e-01    9.31850327e-01
130     -5.80000000e-01   -1.83929077e-01    9.31057896e-01
131     -5.79000000e-01   -1.83453316e-01    9.30266365e-01
132     -5.78000000e-01   -1.82977371e-01    9.29475739e-01
133     -5.77000000e-01   -1.82501238e-01    9.28686022e-01
134     -5.76000000e-01   -1.82024918e-01    9.27897221e-01
135     -5.75000000e-01   -1.81548407e-01    9.27109339e-01
136     -5.74000000e-01   -1.81071704e-01    9.26322383e-01
137     -5.73000000e-01   -1.80594808e-01    9.25536357e-01
138     -5.72000000e-01   -1.80117718e-01    9.24751267e-01
139     -5.71000000e-01   -1.79640431e-01    9.23967118e-01
140     -5.70000000e-01   -1.79162946e-01    9.23183915e-01
141     -5.69000000e-01   -1.78685262e-01    9.22401664e-01
142     -5.68000000e-01   -1.78207377e-01    9.21620370e-01
143     -5.67000000e-01   -1.77729289e-01    9.20840038e-01
144     -5.66000000e-01   -1.77250999e-01    9.20060674e-01
145     -5.65000000e-01   -1.76772503e-01    9.19282283e-01
146     -5.64000000e-01   -1.76293801e-01    9.18504871e-01
147     -5.63000000e-01   -1.75814891e-01    9.17728444e-01
148     -5.62000000e-01   -1.75335772e-01    9.16953007e-01
149     -5.61000000e-01   -1.74856443e-01    9.16178565e-01
150     -5.60000000e-01   -1.74376903e-01    9.15405125e-01
151     -5.59000000e-01   -1.73897149e-01    9.14632691e-01
152     -5.58000000e-01   -1.73417182e-01    9.13861271e-01
153     -5.57000000e-01   -1.72936999e-01    9.13090868e-01
154     -5.56000000e-01   -1.72456601e-01    9.12321490e-01
155     -5.55000000e-01   -1.71975984e-01    9.11553143e-01
156     -5.54000000e-01   -1.71495150e-01    9.10785831e-01
157     -5.53000000e-01   -1.71014095e-01    9.10019561e-01
158     -5.52000000e-01   -1.70532820e-01    9.09254339e-01
159     -5.51000000e-01   -1.70051323e-01    9.08490170e-01
160     -5.50000000e-01   -1.69569603e-01    9.07727062e-01
161     -5.49000000e-01   -1.69087659e-01    9.06965019e-01
162     -5.48000000e-01   -1.68605490e-01    9.06204049e-01
163     -5.47000000e-01   -1.68123095e-01    9.05444156e-01
164     -5.46000000e-01   -1.67640473e-01    9.04685348e-01
165     -5.45000000e-01   -1.67157624e-01    9.03927630e-01
166     -5.44000000e-01   -1.66674546e-01    9.03171009e-01
167     -5.43000000e-01   -1.66191238e-01    9.02415491e-01
168     -5.42000000e-01   -1.65707700e-01    9.01661083e-01
169     -5.41000000e-01   -1.65223931e-01    9.00907790e-01
170     -5.40000000e-01   -1.64739929e-01    9.00155618e-01
171     -5.39000000e-01   -1.64255695e-01    8.99404576e-01
172     -5.38000000e-01   -1.63771226e-01    8.98654668e-01
173     -5.37000000e-01   -1.63286523e-01    8.97905901e-01
174     -5.36000000e-01   -1.62801584e-01    8.97158283e-01
175     -5.35000000e-01   -1.62316410e-01    8.96411819e-01
176     -5.34000000e-01   -1.61830998e-01    8.95666515e-01
177     -5.33000000e-01   -1.61345349e-01    8.94922380e-01
178     -5.32000000e-01   -1.60859461e-01    8.94179419e-01
179     -5.31000000e-01   -1.60373335e-01    8.93437639e-01
180     -5.30000000e-01   -1.59886969e-01    8.92697046e-01
181     -5.29000000e-01   -1.59400362e-01    8.91957648e-01
182     -5.28000000e-01   -1.58913515e-01    8.91219452e-01
183     -5.27000000e-01   -1.58426426e-01    8.90482463e-01
184     -5.26000000e-01   -1.57939094e-01    8.89746690e-01
185     -5.25000000e-01   -1.57451520e-01    8.89012138e-01
186     -5.24000000e-01   -1.56963702e-01    8.88278815e-01
187     -5.23000000e-01   -1.56475641e-01    8.87546728e-01
188     -5.22000000e-01   -1.55987335e-01    8.86815884e-01
189     -5.21000000e-01   -1.55498784e-01    8.86086290e-01
190     -5.20000000e-01   -1.55009987e-01    8.85357953e-01
191     -5.19000000e-01   -1.54520944e-01    8.84630879e-01
192     -5.18000000e-01   -1.54031655e-01    8.83905077e-01
193     -5.17000000e-01   -1.53542119e-01    8.83180553e-01
194     -5.16000000e-01   -1.53052335e-01    8.82457314e-01
195     -5.15000000e-01   -1.52562303e-01    8.81735368e-01
196     -5.14000000e-01   -1.52072023e-01    8.81014722e-01
197     -5.13000000e-01   -1.51581494e-01    8.80295383e-01
198     -5.12000000e-01   -1.51090715e-01    8.79577359e-01
199     -5.11000000e-01   -1.50599687e-01    8.78860656e-01
200     -5.10000000e-01   -1.50108409e-01    8.78145282e-01
201     -5.09000000e-01   -1.49616880e-01    8.77431245e-01
202     -5.08000000e-01   -1.49125101e-01    8.76718551e-01
203     -5.07000000e-01   -1.48633071e-01    8.76007209e-01
204     -5.06000000e-01   -1.48140788e-01    8.75297225e-01
205     -5.05000000e-01   -1.47648255e-01    8.74588608e-01
206     -5.04000000e-01   -1.47155469e-01    8.73881364e-01
207     -5.03000000e-01   -1.46662430e-01    8.73175501e-01
208     -5.02000000e-01   -1.46169139e-01    8.72471026e-01
209     -5.01000000e-01   -1.45675595e-01    8.71767948e-01
210     -5.00000000e-01   -1.45181797e-01    8.71066273e-01
211     -4.99000000e-01   -1.44687746e-01    8.70366009e-01
212     -4.98000000e-01   -1.44193441e-01    8.69667165e-01
213     -4.97000000e-01   -1.43698882e-01    8.68969746e-01
214     -4.96000000e-01   -1.43204068e-01    8.68273761e-01
215     -4.95000000e-01   -1.42709000e-01    8.67579217e-01
216     -4.94000000e-01   -1.42213677e-01    8.66886123e-01
217     -4.93000000e-01   -1.41718100e-01    8.66194485e-01
218     -4.92000000e-01   -1.41222267e-01    8.65504312e-01
219     -4.91000000e-01   -1.40726178e-01    8.64815610e-01
220     -4.90000000e-01   -1.40229835e-01    8.64128387e-01
221     -4.89000000e-01   -1.39733235e-01    8.63442652e-01
222     -4.88000000e-01   -1.39236380e-01    8.62758411e-01
223     -4.87000000e-01   -1.38739268e-01    8.62075673e-01
224     -4.86000000e-01   -1.38241901e-01    8.61394444e-01
225     -4.85000000e-01   -1.37744277e-01    8.60714732e-01
226     -4.84000000e-01   -1.37246382e-01    8.60036546e-01
227     -4.83000000e-01   -1.36748153e-01    8.59359891e-01
228     -4.82000000e-01   -1.36249581e-01    8.58684777e-01
229     -4.81000000e-01   -1.35750666e-01    8.58011210e-01
230     -4.80000000e-01   -1.35251408e-01    8.57339199e-01
231     -4.79000000e-01   -1.34751807e-01    8.56668749e-01
232     -4.78000000e-01   -1.34251863e-01    8.55999870e-01
233     -4.77000000e-01   -1.33751577e-01    8.55332568e-01
234     -4.76000000e-01   -1.33250947e-01    8.54666850e-01
235     -4.75000000e-01   -1.32749975e-01    8.54002724e-01
236     -4.74000000e-01   -1.32248660e-01    8.53340198e-01
237     -4.73000000e-01   -1.31747002e-01    8.52679278e-01
238     -4.72000000e-01   -1.31245002e-01    8.52019972e-01
239     -4.71000000e-01   -1.30742659e-01    8.51362288e-01
240     -4.70000000e-01   -1.30239973e-01    8.50706231e-01
241     -4.69000000e-01   -1.29736944e-01    8.50051809e-01
242     -4.68000000e-01   -1.29233573e-01    8.49399030e-01
243     -4.67000000e-01   -1.28729860e-01    8.48747899e-01
244     -4.66000000e-01   -1.28225804e-01    8.48098425e-01
245     -4.65000000e-01   -1.27721406e-01    8.47450614e-01
246     -4.64000000e-01   -1.27216666e-01    8.46804472e-01
247     -4.63000000e-01   -1.26711583e-01    8.46160007e-01
248     -4.62000000e-01   -1.26206159e-01    8.45517225e-01
249     -4.61000000e-01   -1.25700393e-01    8.44876133e-01
250     -4.60000000e-01   -1.25194285e-01    8.44236736e-01
251     -4.59000000e-01   -1.24687835e-01    8.43599043e-01
252     -4.58000000e-01   -1.24181044e-01    8.42963057e-01
253     -4.57000000e-01   -1.23673911e-01    8.42328787e-01
254     -4.56000000e-01   -1.23166437e-01    8.41696238e-01
255     -4.55000000e-01   -1.22658622e-01    8.41065416e-01
256     -4.54000000e-01   -1.22150466e-01    8.40436326e-01
257     -4.53000000e-01   -1.21641970e-01    8.39808976e-01
258     -4.52000000e-01   -1.21133132e-01    8.39183370e-01
259     -4.51000000e-01   -1.20623954e-01    8.38559514e-01
260     -4.50000000e-01   -1.20114436e-01    8.37937413e-01
261     -4.49000000e-01   -1.19604578e-01    8.37317073e-01
262     -4.48000000e-01   -1.19094379e-01    8.36698499e-01
263     -4.47000000e-01   -1.18583841e-01    8.36081696e-01
264     -4.46000000e-01   -1.18072963e-01    8.35466668e-01
265     -4.45000000e-01   -1.17561746e-01    8.34853422e-01
266     -4.44000000e-01   -1.17050190e-01    8.34241961e-01
267     -4.43000000e-01   -1.16538294e-01    8.33632289e-01
268     -4.42000000e-01   -1.16026060e-01    8.33024412e-01
269     -4.41000000e-01   -1.15513487e-01    8.32418333e-01
270     -4.40000000e-01   -1.15000576e-01    8.31814056e-01
271     -4.39000000e-01   -1.14487326e-01    8.31211586e-01
272     -4.38000000e-01   -1.13973739e-01    8.30610925e-01
273     -4.37000000e-01   -1.13459813e-01    8.30012078e-01
274     -4.36000000e-01   -1.12945551e-01    8.29415048e-01
275     -4.35000000e-01   -1.12430951e-01    8.28819837e-01
276     -4.34000000e-01   -1.11916013e-01    8.28226449e-01
277     -4.33000000e-01   -1.11400739e-01    8.27634887e-01
278     -4.32000000e-01   -1.10885129e-01    8.27045153e-01
279     -4.31000000e-01   -1.10369182e-01    8.26457250e-01
280     -4.30000000e-01   -1.09852899e-01    8.25871180e-01
281     -4.29000000e-01   -1.09336280e-01    8.25286944e-01
282     -4.28000000e-01   -1.08819325e-01    8.24704546e-01
283     -4.27000000e-01   -1.08302035e-01    8.24123985e-01
284     -4.26000000e-01   -1.07784410e-01    8.23545264e-01
285     -4.25000000e-01   -1.07266450e-01    8.22968385e-01
286     -4.24000000e-01   -1.06748156e-01    8.22393347e-01
287     -4.23000000e-01   -1.06229527e-01    8.21820151e-01
288     -4.22000000e-01   -1.05710565e-01    8.21248799e-01
289     -4.21000000e-01   -1.05191268e-01    8.20679290e-01
290     -4.20000000e-01   -1.04671638e-01    8.20111625e-01
291     -4.19000000e-01   -1.04151675e-01    8.19545803e-01
292     -4.18000000e-01   -1.03631379e-01    8.18981825e-01
293     -4.17000000e-01   -1.03110750e-01    8.18419688e-01
294     -4.16000000e-01   -1.02589789e-01    8.17859394e-01
295     -4.15000000e-01   -1.02068496e-01    8.17300940e-01
296     -4.14000000e-01   -1.01546871e-01    8.16744326e-01
297     -4.13000000e-01   -1.01024915e-01    8.16189549e-01
298     -4.12000000e-01   -1.00502627e-01    8.15636609e-01
299     -4.11000000e-01   -9.99800084e-02    8.15085503e-01
300     -4.10000000e-01   -9.94570593e-02    8.14536229e-01
301     -4.09000000e-01   -9.89337798e-02    8.13988785e-01
302     -4.08000000e-01   -9.84101704e-02    8.13443168e-01
303     -4.07000000e-01   -9.78862314e-02    8.12899374e-01
304     -4.06000000e-01   -9.73619629e-02    8.12357402e-01
305     -4.05000000e-01   -9.68373653e-02    8.11817248e-01
306     -4.04000000e-01   -9.63124390e-02    8.11278907e-01
307     -4.03000000e-01   -9.57871843e-02    8.10742377e-01
308     -4.02000000e-01   -9.52616014e-02    8.10207653e-01
309     -4.01000000e-01   -9.47356907e-02    8.09674732e-01
310     -4.00000000e-01   -9.42094525e-02    8.09143608e-01
311     -3.99000000e-01   -9.36828871e-02    8.08614277e-01
312     -3.98000000e-01   -9.31559948e-02    8.08086734e-01
313     -3.97000000e-01   -9.26287760e-02    8.07560974e-01
314     -3.96000000e-01   -9.21012310e-02    8.07036991e-01
315     -3.95000000e-01   -9.15733601e-02    8.06514781e-01
316     -3.94000000e-01   -9.10451637e-02    8.05994338e-01
317     -3.93000000e-01   -9.05166419e-02    8.05475655e-01
318     -3.92000000e-01   -8.99877953e-02    8.04958727e-01
319     -3.91000000e-01   -8.94586242e-02    8.04443546e-01
320     -3.90000000e-01   -8.89291287e-02    8.03930108e-01
321     -3.89000000e-01   -8.83993094e-02    8.03418405e-01
322     -3.88000000e-01   -8.78691665e-02    8.02908429e-01
323     -3.87000000e-01   -8.73387003e-02    8.02400176e-01
324     -3.86000000e-01   -8.68079113e-02    8.01893636e-01
325     -3.85000000e-01   -8.62767996e-02    8.01388803e-01
326     -3.84000000e-01   -8.57453658e-02    8.00885669e-01
327     -3.83000000e-01   -8.52136100e-02    8.00384227e-01
328     -3.82000000e-01   -8.46815327e-02    7.99884469e-01
329     -3.81000000e-01   -8.41491343e-02    7.99386386e-01
330     -3.80000000e-01   -8.36164149e-02    7.98889972e-01
331     -3.79000000e-01   -8.30833750e-02    7.98395217e-01
332     -3.78000000e-01   -8.25500150e-02    7.97902113e-01
333     -3.77000000e-01   -8.20163351e-02    7.97410652e-01
334     -3.76000000e-01   -8.14823358e-02    7.96920826e-01
335     -3.75000000e-01   -8.09480173e-02    7.96432625e-01
336     -3.74000000e-01   -8.04133800e-02    7.95946041e-01
337     -3.73000000e-01   -7.98784243e-02    7.95461065e-01
338     -3.72000000e-01   -7.93431505e-02    7.94977688e-01
339     -3.71000000e-01   -7.88075590e-02    7.94495901e-01
340     -3.70000000e-01   -7.82716501e-02    7.94015695e-01
341     -3.69000000e-01   -7.77354242e-02    7.93537061e-01
342     -3.68000000e-01   -7.71988815e-02    7.93059989e-01
343     -3.67000000e-01   -7.66620226e-02    7.92584470e-01
344     -3.66000000e-01   -7.61248476e-02    7.92110495e-01
345     -3.65000000e-01   -7.55873571e-02    7.91638054e-01
346     -3.64000000e-01   -7.50495513e-02    7.91167139e-01
347     -3.63000000e-01   -7.45114305e-02    7.90697739e-01
348     -3.62000000e-01   -7.39729952e-02    7.90229844e-01
349     -3.61000000e-01   -7.34342457e-02    7.89763446e-01
350     -3.60000000e-01   -7.28951824e-02    7.89298536e-01
351     -3.59000000e-01   -7.23558055e-02    7.88835102e-01
352     -3.58000000e-01   -7.18161156e-02    7.88373136e-01
353     -3.57000000e-01   -7.12761128e-02    7.87912628e-01
354     -3.56000000e-01   -7.07357976e-02    7.87453569e-01
355     -3.55000000e-01   -7.01951704e-02    7.86995949e-01
356     -3.54000000e-01   -6.96542315e-02    7.86539759e-01
357     -3.53000000e-01   -6.91129812e-02    7.86084988e-01
358     -3.52000000e-01   -6.85714200e-02    7.85631628e-01
359     -3.51000000e-01   -6.80295481e-02    7.85179669e-01
360     -3.50000000e-01   -6.74873659e-02    7.84729102e-01
361     -3.49000000e-01   -6.69448739e-02    7.84279917e-01
362     -3.48000000e-01   -6.64020723e-02    7.83832105e-01
363     -3.47000000e-01   -6.58589615e-02    7.83385657e-01
364     -3.46000000e-01   -6.53155418e-02    7.82940563e-01
365     -3.45000000e-01   -6.47718137e-02    7.82496814e-01
366     -3.44000000e-01   -6.42277775e-02    7.82054402e-01
367     -3.43000000e-01   -6.36834336e-02    7.81613317e-01
