,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,cv,range,skew,kurtosis
MAXVD,1.0,1.285347,,1.285347,1.285347,1.285347,1.285347,1.285347,1.285347,1.285347,1.285347,1.285347,,0.0,,
WRITE_SNM,1.0,0.9088772,,0.9088772,0.9088772,0.9088772,0.9088772,0.9088772,0.9088772,0.9088772,0.9088772,0.9088772,,0.0,,
