sample_id,corner,temperature,vdd,rows,cols,choose_columnmux,pu_width,pd_width,pg_width,cell_length,pu_model,pd_model,pg_model,sa_p_width,sa_n_width,sa_length,sa_p_model,sa_n_model,wld_nand_p_width,wld_inv_p_width,wld_nand_n_width,wld_inv_n_width,wld_length,wld_nand_p_model,wld_inv_p_model,wld_nand_n_model,wld_inv_n_model,prc_p_width,prc_length,prc_p_model,mux_p_width,mux_n_width,mux_length,mux_p_model,mux_n_model,wrd_p_width,wrd_n_width,wrd_length,wrd_p_model,wrd_n_model,dec_nand_p_width,dec_inv_p_width,dec_nand_n_width,dec_inv_n_width,dec_length,dec_nand_p_model,dec_inv_p_model,dec_nand_n_model,dec_inv_n_model,mc_runs,vth_std,use_mc,use_rc,use_equivalent,raw_read_delay,raw_write_delay,read_pstc,read_pdyn,write_pstc,write_pdyn,hold_snm,read_snm,write_snm,valid_snm,valid_delay,valid_design,status,num_arrays,area,total_macro_area,single_array_area,single_array_area_um2,area_um2
5,TT,25.0,1.0,64,32,False,9.109468789612512e-08,2.036258955278929e-07,1.2256681359018974e-07,5.9294753617311147e-08,PMOS_VTH,NMOS_VTH,NMOS_VTH,4.959447475508007e-07,2.1751334666780166e-07,5.2450228153601884e-08,PMOS_VTL,NMOS_VTH,2.3291144189351078e-07,2.975016079687145e-07,1.720768001958801e-07,1.0431151610124993e-07,5.7483631178570624e-08,PMOS_VTL,PMOS_VTH,NMOS_VTH,NMOS_VTG,2.239384625117473e-07,5.9055508615352586e-08,PMOS_VTG,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,1.252636e-09,6.3904993e-10,0.0003290541,9.155927e-05,0.000354396,0.0002934123,0.4366535977520817,0.2575575441298918,0.6086882249633675,True,True,True,ok,128,4.95730649064497e-07,4.95730649064497e-07,3.872895695816383e-09,3872.8956958163826,495730.649064497
6,TT,25.0,1.0,64,32,False,9.788849217589128e-08,1.845756743982418e-07,1.4879695563882778e-07,5.045433949853177e-08,PMOS_VTL,NMOS_VTH,NMOS_VTG,4.631827429192163e-07,3.1967490402015425e-07,5.245183993902976e-08,PMOS_VTH,NMOS_VTL,2.2144317274852682e-07,2.610530603618501e-07,1.5249347244697289e-07,1.0300064860190455e-07,5.356697071553019e-08,PMOS_VTL,PMOS_VTL,NMOS_VTG,NMOS_VTG,2.3109605142572717e-07,5.416973258968841e-08,PMOS_VTH,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,8.06419e-10,5.1555821e-10,2.744754e-05,0.0003881335,0.000375297,0.0003190436,0.3456984277393187,0.1845207130966237,0.7849862216970632,True,True,True,ok,128,4.727319822959843e-07,4.727319822959843e-07,3.6932186116873773e-09,3693.2186116873772,472731.9822959843
7,TT,25.0,1.0,64,32,False,8.143665870297965e-08,2.117434055203536e-07,1.3065471814317314e-07,5.7779667507400127e-08,PMOS_VTH,NMOS_VTL,NMOS_VTG,5.906054967927655e-07,2.417483910021128e-07,5.113868553213391e-08,PMOS_VTG,NMOS_VTH,2.8349745392373696e-07,2.547918606227157e-07,1.635488526516126e-07,9.666139824764965e-08,5.5648904122340655e-08,PMOS_VTH,PMOS_VTL,NMOS_VTH,NMOS_VTG,2.973617564280264e-07,5.1898154463760235e-08,PMOS_VTL,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,1.014369e-09,6.0047418e-10,2.299391e-05,0.0003807042,0.0003663807,0.0002921368,0.2927548504804783,0.1452368931148836,0.8871246920406907,True,True,True,ok,128,5.019966740923754e-07,5.019966740923754e-07,3.921849016346683e-09,3921.849016346683,501996.67409237544
8,TT,25.0,1.0,64,64,False,9.007736670426988e-08,2.175409349582285e-07,1.1858279992233163e-07,5.6831705275141286e-08,PMOS_VTH,NMOS_VTL,NMOS_VTL,4.905229209665663e-07,2.6192084126849185e-07,5.6233491602394366e-08,PMOS_VTL,NMOS_VTL,2.744980027828749e-07,2.238292262973273e-07,1.5022381008958684e-07,9.634608243249997e-08,5.5506286117043654e-08,PMOS_VTH,PMOS_VTG,NMOS_VTG,NMOS_VTG,2.542427217271054e-07,5.3382553558327295e-08,PMOS_VTG,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,9.350197e-10,7.392024199999998e-10,4.019735e-05,0.0006780426,0.0003890713,0.001091019,0.2936899171742108,0.1248008467008587,0.8938232079169658,True,True,True,ok,64,4.227703648818499e-07,4.227703648818499e-07,6.6057869512789044e-09,6605.786951278905,422770.3648818499
9,TT,25.0,1.0,64,64,False,9.881376541257685e-08,2.327614189483813e-07,1.1201471924276385e-07,5.119788523370843e-08,PMOS_VTH,NMOS_VTL,NMOS_VTG,5.23661831925968e-07,2.438718024651228e-07,5.80987697206948e-08,PMOS_VTG,NMOS_VTL,2.865950311595585e-07,3.228315022918498e-07,1.6742812386858293e-07,9.175008499118289e-08,5.74610476066289e-08,PMOS_VTL,PMOS_VTG,NMOS_VTH,NMOS_VTG,2.787036760634022e-07,5.462016246282892e-08,PMOS_VTG,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,1.021501e-09,7.574681900000001e-10,9.321392e-05,0.0006831771,0.0004429016,0.001092963,0.2791431764644985,0.1520813367389127,0.7678172801411242,True,True,True,ok,64,4.228022275621806e-07,4.228022275621806e-07,6.606284805659072e-09,6606.284805659072,422802.2275621806
10,TT,25.0,1.0,64,32,False,7.482627436198882e-08,1.708077570902039e-07,1.384676804741492e-07,5.484856857473409e-08,PMOS_VTH,NMOS_VTG,NMOS_VTG,6.098751901351563e-07,2.1700360435408777e-07,5.310145796934219e-08,PMOS_VTH,NMOS_VTH,2.248245642414044e-07,2.488109654593037e-07,1.9619979559644097e-07,9.698331016157699e-08,5.282915181530347e-08,PMOS_VTL,PMOS_VTL,NMOS_VTG,NMOS_VTH,2.944053669819468e-07,5.3663944520523926e-08,PMOS_VTL,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,9.701616e-10,5.542615e-10,1.481434e-05,0.0003859753,0.0003599555,0.000313076,0.3451103355146872,0.1350416741015644,0.9631660134232594,True,True,True,ok,128,4.787356178755709e-07,4.787356178755709e-07,3.740122014652897e-09,3740.122014652897,478735.61787557084
11,TT,25.0,1.0,64,64,False,8.360802761863096e-08,2.0016041552037385e-07,1.4011749343277557e-07,5.90238960042548e-08,PMOS_VTH,NMOS_VTG,NMOS_VTG,5.465256275345287e-07,3.231754840978576e-07,5.458275864404583e-08,PMOS_VTL,NMOS_VTG,3.205191489826436e-07,2.948170570182097e-07,1.8116395385472457e-07,7.503433621690417e-08,5.8285237726983743e-08,PMOS_VTL,PMOS_VTG,NMOS_VTH,NMOS_VTG,2.791593366701799e-07,5.796130315921905e-08,PMOS_VTH,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,1.066519e-09,7.6253578e-10,1.614409e-05,0.0007034957,0.0003656754,0.001087365,0.3527128506411569,0.1618169405871012,0.917397833339208,True,True,True,ok,64,4.343845903698183e-07,4.343845903698183e-07,6.787259224528411e-09,6787.259224528411,434384.5903698183
12,TT,25.0,1.0,64,32,False,9.229696879727324e-08,2.293607914000762e-07,1.3719031849770601e-07,5.836376358502666e-08,PMOS_VTH,NMOS_VTL,NMOS_VTL,4.5138376572677974e-07,2.650718745524959e-07,5.854712562869899e-08,PMOS_VTL,NMOS_VTL,2.716892590391232e-07,2.747683798159502e-07,1.8485730097668841e-07,1.0679097793105429e-07,5.6512041229135376e-08,PMOS_VTG,PMOS_VTL,NMOS_VTH,NMOS_VTH,2.489912640535145e-07,5.545455128580675e-08,PMOS_VTG,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,-5.017722e-09,5.405122999999998e-10,2.013193e-05,0.0003824139,0.0003675456,0.0003007162,0.295721411622036,0.1159271508646076,0.9292007487150088,True,False,False,ok,128,5.012371877224894e-07,5.012371877224894e-07,3.915915529081949e-09,3915.9155290819485,501237.1877224894
13,TT,25.0,1.0,64,64,False,7.494021372386211e-08,2.2443891358854813e-07,1.5654988042224634e-07,5.084699906602202e-08,PMOS_VTH,NMOS_VTH,NMOS_VTL,4.530490747175438e-07,3.0415520371565497e-07,5.4220519456673435e-08,PMOS_VTH,NMOS_VTL,2.6881295253826773e-07,3.140356094861615e-07,1.6834811323180105e-07,8.85265234872533e-08,5.3504404301778487e-08,PMOS_VTG,PMOS_VTH,NMOS_VTL,NMOS_VTG,2.687084443720632e-07,5.804781703061872e-08,PMOS_VTL,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,8.505082e-10,7.4223688e-10,8.596579e-06,0.0006950532,0.0003561457,0.001077955,0.4266174049325311,0.0102461886843206,1.0633861285253718,True,True,True,ok,64,4.2069047211701406e-07,4.2069047211701406e-07,6.573288626828345e-09,6573.288626828345,420690.47211701405
14,TT,25.0,1.0,64,64,False,9.749306298981385e-08,2.390281011297684e-07,1.3017269878745458e-07,5.8262321724422065e-08,PMOS_VTH,NMOS_VTG,NMOS_VTL,6.060759680989603e-07,3.060533945384577e-07,5.8886469339181396e-08,PMOS_VTH,NMOS_VTH,2.1862954721284267e-07,2.551016915193896e-07,1.447306808364559e-07,7.59573723314553e-08,5.9235619114373366e-08,PMOS_VTL,PMOS_VTL,NMOS_VTH,NMOS_VTL,3.230291210457677e-07,5.375522298247132e-08,PMOS_VTL,1.35e-07,1.35e-07,5e-08,PMOS_VTG,NMOS_VTG,3.6e-07,1.8e-07,5e-08,PMOS_VTG,NMOS_VTG,2.7e-07,2.7e-07,1.8e-07,9e-08,5e-08,PMOS_VTG,PMOS_VTG,NMOS_VTG,NMOS_VTG,1,0.0,False,True,True,1.211663e-09,7.3892154e-10,2.113162e-05,0.0006951147,0.0003654551,0.001080907,0.3509421364671266,0.1489064032497545,0.9058893798545096,True,True,True,ok,64,4.464883593366311e-07,4.464883593366311e-07,6.976380614634861e-09,6976.380614634862,446488.35933663114
