Index       TIME             V(CLK)          V(CLK_BUF)        V(CLK_BAR)          V(CSB)           V(CS_BAR)           V(CS)            V(WEB)           V(WE_BAR)           V(WE)       V(GATED_CLK_BUF)  V(GATED_CLK_BAR)      V(WL_EN)           V(RWL)             V(A0)           V(A_DFF0)           V(A1)           V(A_DFF1)           V(A2)           V(A_DFF2)           V(A3)           V(A_DFF3)          V(RBL)         V(RBL_DELAY)    V(RBL_DELAY_BAR)       V(W_EN)           V(PRE)            V(S_EN)           V(WL15)           V(BL7)            V(BLB7)      V(XSRAM_6T_CORE_16X8:XSRAM_6T_CELL_15_7:Q) V(XSRAM_6T_CORE_16X8:XSRAM_6T_CELL_15_7:QB)     V(SA_Q7)          V(SA_QB7)          V(OUT)      
10       1.00000000e-10    0.00000000e+00   -3.33832104e-04    1.00001005e+00    1.00000000e+00    9.99995610e-01    1.58791206e-05    0.00000000e+00    9.99995412e-01    1.72128454e-05    9.88048739e-06    1.22093215e-05    2.30754463e-05    1.02559631e-05    0.00000000e+00    1.59213325e-05    0.00000000e+00    1.60079206e-05    0.00000000e+00    1.66948499e-05    0.00000000e+00    9.21882599e-06    1.58280305e-04    9.99990921e-01    8.88621079e-06    9.65188664e-06    9.99995127e-01    4.59383749e-05    1.29351946e-05    2.04443388e-04    9.99988120e-01    4.57375721e-06    9.99986799e-01    4.41823717e-04    9.99991173e-01    2.37753699e-05
11       1.10000000e-10    0.00000000e+00   -6.09729966e-05    9.99999569e-01    1.00000000e+00    9.99995726e-01    1.50852720e-05    0.00000000e+00    9.99995415e-01    1.71299165e-05    1.01757435e-05    1.21863315e-05    2.30755635e-05    1.02557566e-05    0.00000000e+00    1.90947997e-05    0.00000000e+00    1.92496456e-05    0.00000000e+00    1.99226547e-05    0.00000000e+00    1.34977949e-05    1.73989627e-04    9.99990923e-01    8.97457081e-06    9.65587282e-06    9.99995130e-01    4.65731011e-05    1.29340307e-05    2.24687183e-04    9.99988029e-01    4.57458669e-06    9.99986799e-01    4.85937087e-04    9.99991108e-01    2.37757281e-05
12       1.20000000e-10    0.00000000e+00    2.70400904e-05    9.99996142e-01    1.00000000e+00    9.99995737e-01    1.48543510e-05    0.00000000e+00    9.99995415e-01    1.70513124e-05    1.02715480e-05    1.21684419e-05    2.30755889e-05    1.02555468e-05    0.00000000e+00    2.07068328e-05    0.00000000e+00    2.08709180e-05    0.00000000e+00    2.15401126e-05    0.00000000e+00    1.51317533e-05    1.89671848e-04    9.99990924e-01    9.05775786e-06    9.65598667e-06    9.99995131e-01    4.68268365e-05    1.29329217e-05    2.44862522e-04    9.99987994e-01    4.57540368e-06    9.99986799e-01    5.29994133e-04    9.99991082e-01    2.37758713e-05
13       1.30000000e-10    0.00000000e+00    2.82336555e-05    9.99996028e-01    1.00000000e+00    9.99995699e-01    1.48878291e-05    0.00000000e+00    9.99995414e-01    1.69747395e-05    1.02736729e-05    1.21529479e-05    2.30755712e-05    1.02553355e-05    0.00000000e+00    2.15854826e-05    0.00000000e+00    2.17310870e-05    0.00000000e+00    2.24012137e-05    0.00000000e+00    1.55233882e-05    2.05341338e-04    9.99990925e-01    9.13851524e-06    9.65428175e-06    9.99995131e-01    4.69016258e-05    1.29318387e-05    2.65005708e-04    9.99987983e-01    4.57621482e-06    9.99986799e-01    5.74024725e-04    9.99991075e-01    2.37759136e-05
14       1.40000000e-10    0.00000000e+00    2.94272205e-05    9.99995914e-01    1.00000000e+00    9.99995661e-01    1.49213072e-05    0.00000000e+00    9.99995413e-01    1.68981667e-05    1.02757979e-05    1.21374539e-05    2.30755534e-05    1.02551242e-05    0.00000000e+00    2.24641325e-05    0.00000000e+00    2.25912559e-05    0.00000000e+00    2.32623147e-05    0.00000000e+00    1.59150231e-05    2.21010829e-04    9.99990926e-01    9.21927262e-06    9.65257683e-06    9.99995131e-01    4.69764152e-05    1.29307556e-05    2.85148894e-04    9.99987973e-01    4.57702595e-06    9.99986799e-01    6.18055316e-04    9.99991068e-01    2.37759558e-05
15       1.50000000e-10    0.00000000e+00    3.06207855e-05    9.99995801e-01    1.00000000e+00    9.99995623e-01    1.49547852e-05    0.00000000e+00    9.99995412e-01    1.68215938e-05    1.02779229e-05    1.21219599e-05    2.30755356e-05    1.02549129e-05    0.00000000e+00    2.33427823e-05    0.00000000e+00    2.34514249e-05    0.00000000e+00    2.41234158e-05    0.00000000e+00    1.63066581e-05    2.36680319e-04    9.99990927e-01    9.30002999e-06    9.65087191e-06    9.99995131e-01    4.70512045e-05    1.29296725e-05    3.05292079e-04    9.99987963e-01    4.57783708e-06    9.99986799e-01    6.62085908e-04    9.99991061e-01    2.37759980e-05
16       1.60000000e-10    0.00000000e+00    3.05924781e-05    9.99995803e-01    1.00000000e+00    9.99995632e-01    1.49528930e-05    0.00000000e+00    9.99995413e-01    1.67707984e-05    1.02791789e-05    1.21115823e-05    2.30755364e-05    1.02547043e-05    0.00000000e+00    2.34345141e-05    0.00000000e+00    2.35378428e-05    0.00000000e+00    2.42106659e-05    0.00000000e+00    1.63201358e-05    2.52316025e-04    9.99990927e-01    9.37495797e-06    9.65125166e-06    9.99995130e-01    4.70651180e-05    1.29286134e-05    3.25389926e-04    9.99987961e-01    4.57864942e-06    9.99986799e-01    7.06075064e-04    9.99991060e-01    2.37760099e-05
17       1.70000000e-10    0.00000000e+00    2.98779819e-05    9.99995871e-01    1.00000000e+00    9.99995666e-01    1.49311372e-05    0.00000000e+00    9.99995414e-01    1.67344794e-05    1.02799468e-05    1.21040781e-05    2.30755477e-05    1.02544973e-05    0.00000000e+00    2.30843221e-05    0.00000000e+00    2.31897315e-05    0.00000000e+00    2.38633306e-05    0.00000000e+00    1.61212451e-05    2.67932756e-04    9.99990928e-01    9.44661223e-06    9.65280215e-06    9.99995129e-01    4.70448442e-05    1.29275679e-05    3.45462310e-04    9.99987964e-01    4.57946245e-06    9.99986799e-01    7.50040951e-04    9.99991062e-01    2.37760047e-05
18       1.80000000e-10    0.00000000e+00    2.91634857e-05    9.99995939e-01    1.00000000e+00    9.99995701e-01    1.49093814e-05    0.00000000e+00    9.99995416e-01    1.66981605e-05    1.02807147e-05    1.20965739e-05    2.30755589e-05    1.02542904e-05    0.00000000e+00    2.27341302e-05    0.00000000e+00    2.28416203e-05    0.00000000e+00    2.35159954e-05    0.00000000e+00    1.59223543e-05    2.83549488e-04    9.99990929e-01    9.51826648e-06    9.65435264e-06    9.99995128e-01    4.70245705e-05    1.29265223e-05    3.65534694e-04    9.99987967e-01    4.58027547e-06    9.99986799e-01    7.94006837e-04    9.99991065e-01    2.37759995e-05
19       1.90000000e-10    0.00000000e+00    2.84489895e-05    9.99996007e-01    1.00000000e+00    9.99995736e-01    1.48876256e-05    0.00000000e+00    9.99995418e-01    1.66618415e-05    1.02814826e-05    1.20890697e-05    2.30755702e-05    1.02540834e-05    0.00000000e+00    2.23839383e-05    0.00000000e+00    2.24935090e-05    0.00000000e+00    2.31686601e-05    0.00000000e+00    1.57234636e-05    2.99166220e-04    9.99990930e-01    9.58992074e-06    9.65590313e-06    9.99995127e-01    4.70042967e-05    1.29254767e-05    3.85607078e-04    9.99987970e-01    4.58108849e-06    9.99986799e-01    8.37972724e-04    9.99991068e-01    2.37759943e-05
