,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,cv,range,skew,kurtosis
PAVG,1.0,-0.0001250318,,-0.0001250318,-0.0001250318,-0.0001250318,-0.0001250318,-0.0001250318,-0.0001250318,-0.0001250318,-0.0001250318,-0.0001250318,,0.0,,
PDYN,1.0,-0.003848296,,-0.003848296,-0.003848296,-0.003848296,-0.003848296,-0.003848296,-0.003848296,-0.003848296,-0.003848296,-0.003848296,,0.0,,
PSTC,1.0,-0.0001050491,,-0.0001050491,-0.0001050491,-0.0001050491,-0.0001050491,-0.0001050491,-0.0001050491,-0.0001050491,-0.0001050491,-0.0001050491,,0.0,,
TDECODER,1.0,6.478885e-11,,6.478885e-11,6.478885e-11,6.478885e-11,6.478885e-11,6.478885e-11,6.478885e-11,6.478885e-11,6.478885e-11,6.478885e-11,,0.0,,
TWDRV,1.0,2.512053e-11,,2.512053e-11,2.512053e-11,2.512053e-11,2.512053e-11,2.512053e-11,2.512053e-11,2.512053e-11,2.512053e-11,2.512053e-11,,0.0,,
TWLDRV,1.0,2.551513e-09,,2.551513e-09,2.551513e-09,2.551513e-09,2.551513e-09,2.551513e-09,2.551513e-09,2.551513e-09,2.551513e-09,2.551513e-09,,0.0,,
TWRITE_Q,1.0,3.195761e-11,,3.195761e-11,3.195761e-11,3.195761e-11,3.195761e-11,3.195761e-11,3.195761e-11,3.195761e-11,3.195761e-11,3.195761e-11,,0.0,,
TWRITE_QB,1.0,2.825425e-11,,2.825425e-11,2.825425e-11,2.825425e-11,2.825425e-11,2.825425e-11,2.825425e-11,2.825425e-11,2.825425e-11,2.825425e-11,,0.0,,
