Index        {U}              V(V1)             V(V2)      
106     -6.04000000e-01    8.10113947e-01    9.31168062e-01
107     -6.03000000e-01    8.11110057e-01    9.30367180e-01
108     -6.02000000e-01    8.12106017e-01    9.29567166e-01
109     -6.01000000e-01    8.13101820e-01    9.28768025e-01
110     -6.00000000e-01    8.14097462e-01    9.27969763e-01
111     -5.99000000e-01    8.15092936e-01    9.27172383e-01
112     -5.98000000e-01    8.16088236e-01    9.26375891e-01
113     -5.97000000e-01    8.17083355e-01    9.25580292e-01
114     -5.96000000e-01    8.18078287e-01    9.24785591e-01
115     -5.95000000e-01    8.19073025e-01    9.23991794e-01
116     -5.94000000e-01    8.20067562e-01    9.23198905e-01
117     -5.93000000e-01    8.21061890e-01    9.22406929e-01
118     -5.92000000e-01    8.22056001e-01    9.21615872e-01
119     -5.91000000e-01    8.23049889e-01    9.20825739e-01
120     -5.90000000e-01    8.24043545e-01    9.20036535e-01
121     -5.89000000e-01    8.25036959e-01    9.19248265e-01
122     -5.88000000e-01    8.26030124e-01    9.18460935e-01
123     -5.87000000e-01    8.27023031e-01    9.17674551e-01
124     -5.86000000e-01    8.28015669e-01    9.16889117e-01
125     -5.85000000e-01    8.29008030e-01    9.16104639e-01
126     -5.84000000e-01    8.30000103e-01    9.15321123e-01
127     -5.83000000e-01    8.30991879e-01    9.14538574e-01
128     -5.82000000e-01    8.31983346e-01    9.13756998e-01
129     -5.81000000e-01    8.32974493e-01    9.12976399e-01
130     -5.80000000e-01    8.33965309e-01    9.12196785e-01
131     -5.79000000e-01    8.34955783e-01    9.11418160e-01
132     -5.78000000e-01    8.35945902e-01    9.10640531e-01
133     -5.77000000e-01    8.36935653e-01    9.09863902e-01
134     -5.76000000e-01    8.37925025e-01    9.09088280e-01
135     -5.75000000e-01    8.38914002e-01    9.08313671e-01
136     -5.74000000e-01    8.39902572e-01    9.07540080e-01
137     -5.73000000e-01    8.40890721e-01    9.06767514e-01
138     -5.72000000e-01    8.41878433e-01    9.05995978e-01
139     -5.71000000e-01    8.42865693e-01    9.05225478e-01
140     -5.70000000e-01    8.43852487e-01    9.04456020e-01
141     -5.69000000e-01    8.44838797e-01    9.03687610e-01
142     -5.68000000e-01    8.45824607e-01    9.02920255e-01
143     -5.67000000e-01    8.46809901e-01    9.02153960e-01
144     -5.66000000e-01    8.47794659e-01    9.01388732e-01
145     -5.65000000e-01    8.48778865e-01    9.00624577e-01
146     -5.64000000e-01    8.49762499e-01    8.99861501e-01
147     -5.63000000e-01    8.50745542e-01    8.99099510e-01
148     -5.62000000e-01    8.51727974e-01    8.98338610e-01
149     -5.61000000e-01    8.52709774e-01    8.97578809e-01
150     -5.60000000e-01    8.53690922e-01    8.96820112e-01
151     -5.59000000e-01    8.54671395e-01    8.96062525e-01
152     -5.58000000e-01    8.55651172e-01    8.95306056e-01
153     -5.57000000e-01    8.56630228e-01    8.94550711e-01
154     -5.56000000e-01    8.57608541e-01    8.93796496e-01
155     -5.55000000e-01    8.58586086e-01    8.93043418e-01
156     -5.54000000e-01    8.59562837e-01    8.92291484e-01
157     -5.53000000e-01    8.60538769e-01    8.91540699e-01
158     -5.52000000e-01    8.61513855e-01    8.90791072e-01
159     -5.51000000e-01    8.62488068e-01    8.90042608e-01
160     -5.50000000e-01    8.63461379e-01    8.89295314e-01
161     -5.49000000e-01    8.64433760e-01    8.88549197e-01
162     -5.48000000e-01    8.65405181e-01    8.87804265e-01
163     -5.47000000e-01    8.66375611e-01    8.87060524e-01
164     -5.46000000e-01    8.67345020e-01    8.86317980e-01
165     -5.45000000e-01    8.68313374e-01    8.85576641e-01
166     -5.44000000e-01    8.69280640e-01    8.84836514e-01
167     -5.43000000e-01    8.70246786e-01    8.84097606e-01
168     -5.42000000e-01    8.71211775e-01    8.83359924e-01
169     -5.41000000e-01    8.72175571e-01    8.82623475e-01
170     -5.40000000e-01    8.73138139e-01    8.81888266e-01
171     -5.39000000e-01    8.74099441e-01    8.81154304e-01
172     -5.38000000e-01    8.75059437e-01    8.80421597e-01
173     -5.37000000e-01    8.76018089e-01    8.79690152e-01
174     -5.36000000e-01    8.76975355e-01    8.78959976e-01
175     -5.35000000e-01    8.77931194e-01    8.78231077e-01
176     -5.34000000e-01    8.78885563e-01    8.77503461e-01
177     -5.33000000e-01    8.79838420e-01    8.76777137e-01
178     -5.32000000e-01    8.80789718e-01    8.76052111e-01
179     -5.31000000e-01    8.81739412e-01    8.75328392e-01
180     -5.30000000e-01    8.82687456e-01    8.74605986e-01
181     -5.29000000e-01    8.83633801e-01    8.73884902e-01
182     -5.28000000e-01    8.84578399e-01    8.73165146e-01
183     -5.27000000e-01    8.85521199e-01    8.72446726e-01
184     -5.26000000e-01    8.86462150e-01    8.71729651e-01
185     -5.25000000e-01    8.87401200e-01    8.71013927e-01
186     -5.24000000e-01    8.88338296e-01    8.70299563e-01
187     -5.23000000e-01    8.89273382e-01    8.69586565e-01
188     -5.22000000e-01    8.90206403e-01    8.68874943e-01
189     -5.21000000e-01    8.91137303e-01    8.68164703e-01
190     -5.20000000e-01    8.92066022e-01    8.67455853e-01
191     -5.19000000e-01    8.92992503e-01    8.66748401e-01
192     -5.18000000e-01    8.93916684e-01    8.66042356e-01
193     -5.17000000e-01    8.94838504e-01    8.65337724e-01
194     -5.16000000e-01    8.95757901e-01    8.64634514e-01
195     -5.15000000e-01    8.96674811e-01    8.63932734e-01
196     -5.14000000e-01    8.97589168e-01    8.63232391e-01
197     -5.13000000e-01    8.98500908e-01    8.62533493e-01
198     -5.12000000e-01    8.99409962e-01    8.61836050e-01
199     -5.11000000e-01    9.00316263e-01    8.61140067e-01
200     -5.10000000e-01    9.01219740e-01    8.60445554e-01
201     -5.09000000e-01    9.02120325e-01    8.59752519e-01
202     -5.08000000e-01    9.03017945e-01    8.59060969e-01
203     -5.07000000e-01    9.03912527e-01    8.58370912e-01
204     -5.06000000e-01    9.04803998e-01    8.57682357e-01
205     -5.05000000e-01    9.05692283e-01    8.56995311e-01
206     -5.04000000e-01    9.06577307e-01    8.56309783e-01
