,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,cv,range,skew,kurtosis
MAXVD,1.0,0.3159317,,0.3159317,0.3159317,0.3159317,0.3159317,0.3159317,0.3159317,0.3159317,0.3159317,0.3159317,,0.0,,
READ_SNM,1.0,0.2233974,,0.2233974,0.2233974,0.2233974,0.2233974,0.2233974,0.2233974,0.2233974,0.2233974,0.2233974,,0.0,,
