,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,cv,range,skew,kurtosis
PAVG,1.0,-8.590947e-05,,-8.590947e-05,-8.590947e-05,-8.590947e-05,-8.590947e-05,-8.590947e-05,-8.590947e-05,-8.590947e-05,-8.590947e-05,-8.590947e-05,,0.0,,
TVOUT_PERIOD,1.0,1.999997e-08,,1.999997e-08,1.999997e-08,1.999997e-08,1.999997e-08,1.999997e-08,1.999997e-08,1.999997e-08,1.999997e-08,1.999997e-08,,0.0,,
