Index       TIME             V(CLK)          V(CLK_BUF)        V(CLK_BAR)          V(CSB)           V(CS_BAR)           V(CS)            V(WEB)           V(WE_BAR)           V(WE)       V(GATED_CLK_BUF)  V(GATED_CLK_BAR)      V(WL_EN)           V(RWL)             V(A0)           V(A_DFF0)           V(A1)           V(A_DFF1)           V(A2)           V(A_DFF2)           V(A3)           V(A_DFF3)          V(RBL)         V(RBL_DELAY)    V(RBL_DELAY_BAR)       V(W_EN)           V(PRE)            V(S_EN)           V(WL15)           V(BL7)            V(BLB7)      V(XSRAM_6T_CORE_16X8:XSRAM_6T_CELL_15_7:Q) V(XSRAM_6T_CORE_16X8:XSRAM_6T_CELL_15_7:QB)     V(SA_Q7)          V(SA_QB7)          V(DIN0)         V(DIN_DFF0)         V(OUT)      
10       1.00000000e-10    0.00000000e+00   -1.61677267e-03    1.00002452e+00    1.00000000e+00    9.99997676e-01    1.16397785e-05    1.00000000e+00    9.99997367e-01    1.21562506e-05    5.13413199e-06    7.47522709e-06    1.78128760e-05    5.90864899e-06    0.00000000e+00    1.46977788e-05    0.00000000e+00    1.47537477e-05    0.00000000e+00    1.54317779e-05    0.00000000e+00    7.71558120e-06    1.06567245e-04    9.99993584e-01    6.38795881e-06    1.61200755e-05    9.99996429e-01    3.32759909e-05    8.11003633e-06    1.11075658e-04    9.99991135e-01    3.13976389e-06    9.99992574e-01    2.73385006e-04    9.99993644e-01    0.00000000e+00    4.72577698e-06    1.51083650e-05
11       1.10000000e-10    0.00000000e+00   -9.94574224e-04    1.00001833e+00    1.00000000e+00    9.99997622e-01    1.24322968e-05    1.00000000e+00    9.99997371e-01    1.22525157e-05    5.96360131e-06    7.61180188e-06    1.78131508e-05    5.90836540e-06    0.00000000e+00    1.54706731e-05    0.00000000e+00    1.55762625e-05    0.00000000e+00    1.62619937e-05    0.00000000e+00    9.42815069e-06    1.17174424e-04    9.99993594e-01    6.41406322e-06    1.61456240e-05    9.99996434e-01    3.38436313e-05    8.11004739e-06    1.22126054e-04    9.99991044e-01    3.13976617e-06    9.99992574e-01    3.00742855e-04    9.99993581e-01    0.00000000e+00    6.92679542e-06    1.51085705e-05
12       1.20000000e-10    0.00000000e+00   -6.25811054e-04    1.00001244e+00    1.00000000e+00    9.99997561e-01    1.24403441e-05    1.00000000e+00    9.99997368e-01    1.22473414e-05    6.15409305e-06    7.62049428e-06    1.78130383e-05    5.90825710e-06    0.00000000e+00    1.63332705e-05    0.00000000e+00    1.64560554e-05    0.00000000e+00    1.71412213e-05    0.00000000e+00    1.05360205e-05    1.27776357e-04    9.99993594e-01    6.44027642e-06    1.61472100e-05    9.99996436e-01    3.41181082e-05    8.10992100e-06    1.33145497e-04    9.99990999e-01    3.13991408e-06    9.99992574e-01    3.28074115e-04    9.99993550e-01    0.00000000e+00    8.06608993e-06    1.51087025e-05
13       1.30000000e-10    0.00000000e+00   -3.82694938e-04    1.00000499e+00    1.00000000e+00    9.99997550e-01    1.15071946e-05    1.00000000e+00    9.99997361e-01    1.21621458e-05    5.79846871e-06    7.52558715e-06    1.78127328e-05    5.90830590e-06    0.00000000e+00    1.69410729e-05    0.00000000e+00    1.70596409e-05    0.00000000e+00    1.77369612e-05    0.00000000e+00    1.09838456e-05    1.38375447e-04    9.99993589e-01    6.46803631e-06    1.61340607e-05    9.99996437e-01    3.42625798e-05    8.10990534e-06    1.44150440e-04    9.99990976e-01    3.14019364e-06    9.99992574e-01    3.55392689e-04    9.99993532e-01    0.00000000e+00    8.25155858e-06    1.51088430e-05
14       1.40000000e-10    0.00000000e+00   -1.55027683e-04    9.99998154e-01    1.00000000e+00    9.99997541e-01    1.06720237e-05    1.00000000e+00    9.99997355e-01    1.20842347e-05    5.48668413e-06    7.44116951e-06    1.78124663e-05    5.90834212e-06    0.00000000e+00    1.75217124e-05    0.00000000e+00    1.76363944e-05    0.00000000e+00    1.83067487e-05    0.00000000e+00    1.14173061e-05    1.48973396e-04    9.99993584e-01    6.49570246e-06    1.61223178e-05    9.99996438e-01    3.43962293e-05    8.10987265e-06    1.55153544e-04    9.99990954e-01    3.14046260e-06    9.99992574e-01    3.82709153e-04    9.99993515e-01    0.00000000e+00    8.44955550e-06    1.51089709e-05
15       1.50000000e-10    0.00000000e+00   -1.09447079e-04    9.99998640e-01    1.00000000e+00    9.99997565e-01    1.09916696e-05    1.00000000e+00    9.99997360e-01    1.20921820e-05    5.69161302e-06    7.48038537e-06    1.78126589e-05    5.90823022e-06    0.00000000e+00    1.77821997e-05    0.00000000e+00    1.78968943e-05    0.00000000e+00    1.85706511e-05    0.00000000e+00    1.16814579e-05    1.59557913e-04    9.99993587e-01    6.52226373e-06    1.61271511e-05    9.99996438e-01    3.44023251e-05    8.10963926e-06    1.66134974e-04    9.99990953e-01    3.14060666e-06    9.99992574e-01    4.10000749e-04    9.99993516e-01    0.00000000e+00    8.79521578e-06    1.51089493e-05
16       1.60000000e-10    0.00000000e+00   -6.38664740e-05    9.99999126e-01    1.00000000e+00    9.99997589e-01    1.13113156e-05    1.00000000e+00    9.99997364e-01    1.21001293e-05    5.89654191e-06    7.51960123e-06    1.78128515e-05    5.90811831e-06    0.00000000e+00    1.80426870e-05    0.00000000e+00    1.81573942e-05    0.00000000e+00    1.88345535e-05    0.00000000e+00    1.19456098e-05    1.70142429e-04    9.99993591e-01    6.54882501e-06    1.61319844e-05    9.99996438e-01    3.44084209e-05    8.10940587e-06    1.77116405e-04    9.99990952e-01    3.14075071e-06    9.99992574e-01    4.37292345e-04    9.99993516e-01    0.00000000e+00    9.14087607e-06    1.51089278e-05
17       1.70000000e-10    0.00000000e+00   -1.82858693e-05    9.99999612e-01    1.00000000e+00    9.99997612e-01    1.16309616e-05    1.00000000e+00    9.99997369e-01    1.21080765e-05    6.10147080e-06    7.55881709e-06    1.78130442e-05    5.90800641e-06    0.00000000e+00    1.83031743e-05    0.00000000e+00    1.84178940e-05    0.00000000e+00    1.90984559e-05    0.00000000e+00    1.22097616e-05    1.80726945e-04    9.99993594e-01    6.57538628e-06    1.61368176e-05    9.99996438e-01    3.44145168e-05    8.10917249e-06    1.88097835e-04    9.99990952e-01    3.14089477e-06    9.99992574e-01    4.64583941e-04    9.99993516e-01    0.00000000e+00    9.48653636e-06    1.51089062e-05
18       1.80000000e-10    0.00000000e+00    2.72947354e-05    1.00000010e+00    1.00000000e+00    9.99997636e-01    1.19506075e-05    1.00000000e+00    9.99997373e-01    1.21160238e-05    6.30639969e-06    7.59803295e-06    1.78132368e-05    5.90789451e-06    0.00000000e+00    1.85636616e-05    0.00000000e+00    1.86783939e-05    0.00000000e+00    1.93623583e-05    0.00000000e+00    1.24739135e-05    1.91311462e-04    9.99993597e-01    6.60194755e-06    1.61416509e-05    9.99996438e-01    3.44206126e-05    8.10893910e-06    1.99079265e-04    9.99990951e-01    3.14103882e-06    9.99992574e-01    4.91875537e-04    9.99993516e-01    0.00000000e+00    9.83219664e-06    1.51088847e-05
19       1.90000000e-10    0.00000000e+00    6.89390975e-05    1.00000046e+00    1.00000000e+00    9.99997655e-01    1.22204871e-05    1.00000000e+00    9.99997377e-01    1.21201218e-05    6.48073520e-06    7.63063070e-06    1.78133980e-05    5.90778998e-06    0.00000000e+00    1.87958516e-05    0.00000000e+00    1.89104244e-05    0.00000000e+00    1.95972872e-05    0.00000000e+00    1.27066970e-05    2.01894475e-04    9.99993600e-01    6.62824066e-06    1.61456433e-05    9.99996439e-01    3.44258960e-05    8.10870223e-06    2.10059213e-04    9.99990951e-01    3.14118900e-06    9.99992574e-01    5.19165159e-04    9.99993516e-01    0.00000000e+00    1.01334036e-05    1.51088665e-05
