grp,tag,status,err,n,nfail,failed,delay,delay_sd,delay_max,tclk_wlen,tclk_dec,trestore,tprch,twldrv,twdrv,tsa,tswing,pavg_uW,wl_slew,rwl_minus_wl,sen_minus_wl,bl_at_sen,dv_at_sen,dv_at_sen_min,rbl_at_sen,bl_at_acc0,blb_at_acc0,bl_at_next,blb_at_next,blb_min_acc,blb_min_acc_max,q_flip,q_flip_max,twdrv_wave,out_end,t
D_rep,16x16_r_SS_boxslow_K4N1,ok,,1,0,,295.9186,0.0,295.9186,281.9711,443.9502,560.3242,116.87180000000001,51.693389999999994,,100.2041,64.67612,37.32971,27.563094166442745,-6.105334174580553,143.9437240204628,0.250325604,0.6350655629999999,0.6350655629999999,0.000573261602,0.899862568,0.899919514,0.899862384,0.89991933,0.87095776,0.87095776,,,,8.36942958e-05,189.01727199554443
D_rep,16x16_r_SS_rwl_and2,ok,,1,0,,705.4153,0.0,705.4153,282.02389999999997,443.9457,563.4131,119.7488,53.35615,,78.99891000000001,54.76153,41.50263,30.037599129847035,-11.749147853074872,573.0407523415367,0.00361885009,0.8938663879100001,0.8938663879100001,0.000423850643,0.899831177,0.899903634,0.899830988,0.899903445,0.882719819,0.882719819,,,,8.36964643e-05,215.41574478149414
D_rep,16x16_r_SS_rwl_matched,ok,,1,0,,724.774,0.0,724.774,283.0032,443.9252,565.4356,119.7675,53.85534,,79.06457,54.76213,42.35596,31.182757435501646,1.6226586793682058,591.8708957770459,0.00352985342,0.89451624758,0.89451624758,0.000425093737,0.899831173,0.89990363,0.899830979,0.899903436,0.882876096,0.882876096,,,,8.36819894e-05,220.98578453063965
D_rep,16x16_r_TT_K1N1,ok,,1,0,,129.5361,0.0,129.5361,131.9989,200.9152,257.45160000000004,48.89686,22.132270000000002,,34.16096,22.214290000000002,45.352129999999995,17.346745405820624,-7.393735258697122,73.0459772891043,0.0937630003,0.8979269667,0.8979269667,0.00343729802,0.999967811,0.999978242,0.999967789,0.999978221,0.97961021,0.97961021,,,,2.12750504e-05,163.81280851364136
D_rep,16x16_r_TT_K1N5,ok,,1,0,,217.5608,0.0,217.5608,132.0316,200.82479999999998,257.4762,48.91006,22.27645,,32.43931,22.15322,47.8352,16.872560285378132,-7.4002609315597585,162.87948483132487,0.00498351265,0.98845083435,0.98845083435,0.000222646954,0.99996781,0.999978241,0.999967786,0.999978217,0.979418943,0.979418943,,,,2.12814524e-05,176.1639106273651
D_rep,16x16_r_TT_K1N9,ok,,1,0,,307.7731,0.0,307.7731,132.0966,200.7309,257.4796,48.917030000000004,22.29177,,32.58992,22.15282,49.9556,16.946847225143078,-7.373613172276836,252.9120696000644,0.00174690931,0.99180024669,0.99180024669,0.000204993181,0.999967807,0.999978238,0.999967785,0.999978216,0.979402008,0.979402008,,,,2.1279686e-05,205.52142095565796
D_rep,16x16_r_TT_K2N1,ok,,1,0,,121.55510000000001,0.0,121.55510000000001,131.9988,200.9152,257.4245,48.89686,22.13167,,36.30085,22.20316,45.47316,17.28540541033137,-5.582365930550876,63.01836094578362,0.163413995,0.824959038,0.824959038,0.000493120513,0.999967811,0.999978242,0.99996779,0.999978221,0.977842637,0.977842637,,,,2.12796225e-05,160.8999264240265
D_rep,16x16_r_TT_K2N1_matched,ok,,1,0,,126.7295,0.0,126.7295,132.56019999999998,200.6984,258.447,48.917289999999994,22.41969,,34.62714,22.1528,46.34671,17.425174426183695,0.6249190002036895,69.64984589148986,0.0933542002,0.8928939048000001,0.8928939048000001,0.00041076822,0.999967815,0.999978246,0.999967793,0.999978224,0.979382001,0.979382001,,,,2.127494e-05,160.8655822277069
D_rep,16x16_r_TT_K2N5,ok,,1,0,,207.6345,0.0,207.6345,132.0316,200.82479999999998,257.4763,48.91006,22.27622,,32.530359999999995,22.15295,47.62165,16.83044121577779,-5.575562051258578,152.72486289710622,0.00550088075,0.98749218425,0.98749218425,0.000174617203,0.99996781,0.999978241,0.999967791,0.999978222,0.979301463,0.979301463,,,,2.127982e-05,179.68305277824402
D_rep,16x16_r_TT_K2N9,ok,,1,0,,297.5722,0.0,297.5722,132.0966,200.7309,257.5435,48.917030000000004,22.29155,,32.54842,22.15245,49.98147,16.914129486629886,-5.468758844265151,242.7813018271368,0.00209279773,0.99182533827,0.99182533827,0.000138318227,0.999967807,0.999978238,0.999967786,0.999978218,0.979374673,0.979374673,,,,2.12776569e-05,202.39546060562134
D_rep,16x16_r_TT_K4N1,ok,,1,0,,119.2591,0.0,119.2591,131.9988,200.9152,257.51619999999997,48.89692,22.13159,,37.53796,22.145229999999998,45.53563,16.73223984071423,-2.5042185396181322,59.425755365702216,0.155881569,0.82564116,0.82564116,0.000345933564,0.999967811,0.999978242,0.999967795,0.999978227,0.979320305,0.979320305,,,,2.12781703e-05,160.5884292125702
