,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,cv,range,skew,kurtosis
HOLD_SNM,1.0,0.3662958,,0.3662958,0.3662958,0.3662958,0.3662958,0.3662958,0.3662958,0.3662958,0.3662958,0.3662958,,0.0,,
MAXVD,1.0,0.5180205,,0.5180205,0.5180205,0.5180205,0.5180205,0.5180205,0.5180205,0.5180205,0.5180205,0.5180205,,0.0,,
